Player,First,Last,Nickname,Ht,Wt,Reach,Stance,DOB,W,L,D,Belt,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Tyson Nam,Tyson,Nam,,"5' 7""",125 lbs.,"68.0""",Orthodox,"Oct 06, 1983",21,14,1,,3.87,33%,4.97,65%,0.00,0%,87%,0.0,http://www.ufcstats.com/fighter-details/6e00cfffd54653c4
Rose Namajunas,Rose,Namajunas,Thug,"5' 5""",125 lbs.,"65.0""",Orthodox,"Jun 29, 1992",15,8,0,,3.50,41%,3.38,63%,1.47,48%,62%,0.3,http://www.ufcstats.com/fighter-details/47b63240018d5d86
Yasuhito Namekawa,Yasuhito,Namekawa,,"5' 9""",205 lbs.,--,Orthodox,"Oct 27, 1974",25,16,4,,0.14,50%,3.65,38%,2.11,25%,0%,4.2,http://www.ufcstats.com/fighter-details/6083f497c22cc075
Nad Narimani,Nad,Narimani,Smiler,"5' 8""",145 lbs.,"70.0""",Orthodox,"Apr 14, 1987",12,4,0,,3.33,42%,3.00,58%,1.92,41%,70%,0.0,http://www.ufcstats.com/fighter-details/776a58a67665a171
Roger Narvaez,Roger,Narvaez,Silverback,"6' 3""",185 lbs.,--,Southpaw,"Sep 09, 1983",8,3,0,,2.12,37%,3.32,64%,0.00,0%,50%,0.9,http://www.ufcstats.com/fighter-details/3a12a2f096a6d975
Jake O'Brien,Jake,O'Brien,Irish,"6' 3""",205 lbs.,"76.0""",Orthodox,"Sep 25, 1984",15,4,0,,1.31,31%,1.92,69%,6.39,54%,25%,0.2,http://www.ufcstats.com/fighter-details/20bcc9966affb19c
TJ O'Brien,TJ,O'Brien,The Spider,"6' 2""",155 lbs.,--,Orthodox,"Jan 01, 1987",20,8,0,,3.77,46%,4.78,57%,0.94,100%,0%,0.0,http://www.ufcstats.com/fighter-details/d25b93992f285953
Sean O'Connell,Sean,O'Connell,The Real OC,"6' 1""",205 lbs.,"74.0""",Orthodox,"Sep 02, 1983",17,9,0,,5.46,48%,6.77,45%,0.00,0%,30%,0.5,http://www.ufcstats.com/fighter-details/cb52f9490c2dc069
Dan O'Connor,Dan,O'Connor,Johnny Irish,"5' 4""",115 lbs.,--,,"Nov 17, 1982",6,6,0,,4.00,56%,5.10,54%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/69ea0119f6f0dfe0
Sean O'Haire,Sean,O'Haire,,"6' 5""",270 lbs.,--,Orthodox,"Feb 25, 1971",4,2,0,,8.28,57%,22.76,21%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/46effbd1135423c5
Sean O'Malley,Sean,O'Malley,Suga,"5' 11""",135 lbs.,"72.0""",Switch,"Oct 24, 1994",19,3,0,,6.05,60%,3.40,60%,0.24,42%,60%,0.2,http://www.ufcstats.com/fighter-details/b50a426a33da0012
Jeremiah O'Neal,Jeremiah,O'Neal,,"5' 8""",260 lbs.,--,,"Oct 25, 1977",13,25,0,,1.15,40%,7.50,23%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/338fda4ec7034c5d
Chuck O'Neil,Chuck,O'Neil,Cold Steel,"6' 2""",170 lbs.,--,,"Sep 22, 1985",17,9,0,,3.13,37%,4.40,72%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/56bc9ccb609df534
Casey O'Neill,Casey,O'Neill,King,"5' 6""",125 lbs.,"69.0""",Orthodox,"Oct 07, 1997",10,2,0,,7.89,52%,5.65,57%,1.45,34%,70%,0.7,http://www.ufcstats.com/fighter-details/04835018f90b118c
Brendan O'Reilly,Brendan,O'Reilly,Badger,"5' 7""",170 lbs.,"69.0""",Orthodox,"Jun 24, 1987",6,3,0,,1.90,47%,2.77,39%,2.22,43%,36%,0.6,http://www.ufcstats.com/fighter-details/494b0bfdbac74502
Takahiro Oba,Takahiro,Oba,,"5' 8""",200 lbs.,--,Southpaw,"Aug 14, 1976",5,7,1,,0.23,25%,1.82,69%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7139cd2ae4bf6a29
Nobuhiro Obiya,Nobuhiro,Obiya,,"5' 8""",145 lbs.,--,Orthodox,"Jan 15, 1981",12,5,1,,0.63,28%,2.53,55%,0.50,50%,41%,0.5,http://www.ufcstats.com/fighter-details/6e3282d57d2467a0
Jose Ochoa,Jose,Ochoa,Kalzifer,"5' 7""",125 lbs.,"67.0""",Southpaw,"Dec 31, 2000",8,2,0,,3.01,37%,2.33,60%,0.43,50%,59%,1.3,http://www.ufcstats.com/fighter-details/88be62d6c1e6dadb
Christian Ocon,Christian,Ocon,,"5' 8""",135 lbs.,"69.0""",Orthodox,"Feb 05, 1996",2,1,0,,1.73,53%,5.27,34%,0.00,0%,63%,0.0,http://www.ufcstats.com/fighter-details/2d6d6ffe5a446ea2
Kaito Oda,Kaito,Oda,,--,125 lbs.,--,,"Feb 13, 1998",8,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/629bac37f70891fb
Richard Odoms,Richard,Odoms,The Black Eagle,"6' 5""",265 lbs.,--,Orthodox,"May 08, 1975",13,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f43907e75f8d9baa
Volkan Oezdemir,Volkan,Oezdemir,No Time,"6' 2""",205 lbs.,"75.0""",Orthodox,"Sep 19, 1989",21,8,0,,4.99,48%,4.19,55%,0.50,29%,80%,0.1,http://www.ufcstats.com/fighter-details/0845c81e37d3bcb3
Kaan Ofli,Kaan,Ofli,Genghis,"5' 7""",145 lbs.,"66.0""",Orthodox,"Jun 19, 1993",14,4,1,,2.33,45%,3.34,54%,0.38,7%,0%,0.4,http://www.ufcstats.com/fighter-details/7facc9c45d792985
Naoya Ogawa,Naoya,Ogawa,,"6' 4""",255 lbs.,--,Orthodox,"Mar 31, 1968",7,2,0,,2.41,42%,1.66,47%,1.25,100%,66%,1.2,http://www.ufcstats.com/fighter-details/4b2390cfaceb91d8
Trey Ogden,Trey,Ogden,Shamurai,"5' 11""",155 lbs.,"72.0""",Orthodox,"Nov 14, 1989",18,7,0,,3.20,50%,3.49,55%,1.89,32%,100%,0.7,http://www.ufcstats.com/fighter-details/cfc3e7bb44685289
Andy Ogle,Andy,Ogle,The Little Axe,"5' 8""",145 lbs.,"69.0""",Orthodox,"Feb 16, 1989",9,6,0,,2.24,44%,2.23,50%,1.44,26%,58%,0.0,http://www.ufcstats.com/fighter-details/b6c4451cb13c9303
Ho Taek Oh,Ho Taek,Oh,Spider,--,155 lbs.,--,,"Jul 20, 1993",7,2,1,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5c020ee6ab450870
Michiyoshi Ohara,Michiyoshi,Ohara,,"5' 10""",205 lbs.,--,Orthodox,"Nov 15, 1967",0,2,0,,0.28,29%,3.13,48%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/6a8a06b542e1516d
Koji Oishi,Koji,Oishi,,"5' 8""",170 lbs.,--,Orthodox,"May 31, 1977",25,10,10,,1.43,9%,17.86,43%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/01daf32100ed7517
Takayuki Okada,Takayuki,Okada,Giant Ochiai,"6' 1""",290 lbs.,--,Orthodox,"May 08, 1973",3,3,2,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/32541eb5d12668b4
Raquel Pa'aluhi,Raquel,Pa'aluhi,Rocky,"5' 7""",135 lbs.,--,,"Oct 14, 1990",6,5,0,,1.71,56%,3.42,46%,0.00,0%,18%,0.0,http://www.ufcstats.com/fighter-details/373be586f370d400
Nick Pace,Nick,Pace,,"5' 7""",135 lbs.,"68.0""",Orthodox,"Apr 17, 1987",8,3,0,,1.48,34%,3.14,57%,2.52,43%,54%,0.5,http://www.ufcstats.com/fighter-details/8cb76103cd8a1562
Jimmie Pace,Jimmie,Pace,Big Bucks,--,185 lbs.,--,,"Apr 09, 1996",7,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4652b685fa11e7fd
Larissa Pacheco,Larissa,Pacheco,,"5' 7""",135 lbs.,--,Orthodox,"Sep 07, 1994",10,2,0,,1.21,19%,4.14,55%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/16b89be2f5c16fba
Angel Pacheco,Angel,Pacheco,,"5' 8""",135 lbs.,"70.0""",Orthodox,"Jan 13, 1992",7,4,0,,7.58,36%,10.56,41%,0.33,50%,16%,0.0,http://www.ufcstats.com/fighter-details/07797f10b9569cfc
Teemu Packalen,Teemu,Packalen,Pacu,"6' 1""",155 lbs.,"75.0""",Orthodox,"May 22, 1987",8,3,0,,2.57,54%,3.91,47%,2.31,25%,100%,1.5,http://www.ufcstats.com/fighter-details/8f4eeaf7a0df7c1a
George Pacurariu,George,Pacurariu,Constantine,"5' 7""",135 lbs.,--,,"Jul 28, 1984",10,5,0,,4.69,53%,2.68,63%,5.03,100%,100%,5.0,http://www.ufcstats.com/fighter-details/c51da79b0346b5b7
Cyrillo Padilha,Cyrillo,Padilha,,"5' 11""",155 lbs.,--,,"Jan 23, 1978",3,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/856c4d2668a875f9
Gary Padilla,Gary,Padilla,,"5' 11""",205 lbs.,--,,"May 04, 1980",12,6,0,,2.20,27%,2.00,76%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/01dd4cdc2446f665
Fernando Padilla,Fernando,Padilla,El Valiente,"6' 1""",145 lbs.,"76.0""",Orthodox,"Dec 15, 1996",16,6,0,,6.07,40%,5.74,52%,0.00,0%,100%,0.6,http://www.ufcstats.com/fighter-details/d2f43cfaf8ca3560
Chris Padilla,Chris,Padilla,Taco,"5' 9""",155 lbs.,"74.0""",Orthodox,"Sep 14, 1995",17,6,0,,4.78,54%,3.87,55%,1.18,30%,75%,0.4,http://www.ufcstats.com/fighter-details/06626b6287e1ae1e
Damacio Page,Damacio,Page,The Angel of Death,"5' 6""",135 lbs.,"66.0""",Orthodox,"Sep 30, 1982",19,10,0,,2.05,38%,2.47,51%,2.63,64%,23%,0.9,http://www.ufcstats.com/fighter-details/c96e2ae6021144a1
Michael Page,Michael,Page,Venom,"6' 3""",170 lbs.,"79.0""",Switch,"Apr 07, 1987",25,3,0,,2.28,58%,1.51,62%,0.19,16%,70%,0.0,http://www.ufcstats.com/fighter-details/a67d071163962af8
Dustin Pague,Dustin,Pague,The Disciple,"5' 9""",135 lbs.,"74.0""",Orthodox,"Aug 05, 1987",12,11,0,,1.65,53%,2.96,41%,1.03,44%,55%,2.6,http://www.ufcstats.com/fighter-details/55f80a8aeffcdb33
Josh Paiva,Josh,Paiva,,"5' 6""",125 lbs.,--,,"Apr 05, 1991",8,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/1e12c1dbbb1e2dda
Raulian Paiva,Raulian,Paiva,,"5' 8""",135 lbs.,"69.0""",Orthodox,"Oct 17, 1995",21,5,0,,4.14,42%,5.01,48%,0.65,23%,77%,0.2,http://www.ufcstats.com/fighter-details/82b4e942781b1046
Dinis Paiva Jr.,Dinis,Paiva Jr.,Sweetbread,"5' 9""",145 lbs.,"71.0""",Southpaw,"May 26, 1988",13,8,0,,2.60,41%,2.73,67%,0.00,0%,81%,0.0,http://www.ufcstats.com/fighter-details/ad3a5e465c76e499
Fredson Paixao,Fredson,Paixao,,"5' 6""",145 lbs.,"66.0""",Orthodox,"May 13, 1979",10,5,0,,1.71,54%,2.31,62%,0.62,11%,10%,2.2,http://www.ufcstats.com/fighter-details/320edfb0332b7073
Luis Pajuelo,Luis,Pajuelo,Corazon de Leon,"5' 10""",145 lbs.,"69.0""",Orthodox,"Dec 18, 1994",8,2,0,,6.03,57%,8.20,52%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/e530df53922f413e
Jose Palacios,Jose,Palacios,,"5' 9""",145 lbs.,--,Orthodox,"Nov 10, 1982",3,2,0,,2.67,70%,1.00,79%,0.00,0%,50%,1.7,http://www.ufcstats.com/fighter-details/de20ffb3fc2e7629
Ricky Palacios,Ricky,Palacios,El Gallero,"5' 6""",145 lbs.,--,Orthodox,"Jul 05, 1987",10,1,0,,7.73,53%,3.27,59%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/797ddccda75f169f
Bart Palaszewski,Bart,Palaszewski,Bartimus,"5' 9""",145 lbs.,"70.0""",Orthodox,"May 30, 1983",36,17,0,,2.67,32%,3.97,57%,0.65,31%,53%,0.5,http://www.ufcstats.com/fighter-details/4304992c2acc187b
Sasha Palatnikov,Sasha,Palatnikov,,"6' 1""",170 lbs.,"72.0""",Switch,"Mar 15, 1989",6,4,0,,6.69,53%,5.44,52%,0.72,100%,70%,0.0,http://www.ufcstats.com/fighter-details/a6c20202c701e5ca
Soa Palelei,Soa,Palelei,The Hulk,"6' 4""",265 lbs.,"81.0""",Orthodox,"Jul 12, 1977",22,5,0,,2.47,57%,2.68,48%,2.20,47%,66%,0.0,http://www.ufcstats.com/fighter-details/60029bcf496bd707
Rousimar Palhares,Rousimar,Palhares,Toquinho,"5' 8""",170 lbs.,"71.0""",Orthodox,"Feb 26, 1980",19,8,0,,1.75,51%,2.04,59%,3.93,45%,0%,4.1,http://www.ufcstats.com/fighter-details/8ddf9c51c5fdea75
Qiu Lun,Qiu,Lun,Tibetan Knight,"5' 8""",125 lbs.,"66.0""",Southpaw,"Jul 08, 1997",16,9,0,,3.51,46%,1.78,67%,0.67,18%,68%,0.0,http://www.ufcstats.com/fighter-details/126bdc1710a8cbf4
Bao Quach,Bao,Quach,,"5' 3""",145 lbs.,--,Orthodox,"Sep 04, 1979",19,10,1,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d365ee924f5cc3fc
Gary Quan,Gary,Quan,,"5' 8""",143 lbs.,--,,"Apr 11, 1971",3,5,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f7b4cbe93f3bac06
Billy Quarantillo,Billy,Quarantillo,,"5' 10""",145 lbs.,"70.0""",Orthodox,"Dec 08, 1988",18,7,0,,7.44,54%,5.83,42%,1.47,24%,61%,1.0,http://www.ufcstats.com/fighter-details/aa171d55d4b5208f
Nate Quarry,Nate,Quarry,Rock,"6' 0""",185 lbs.,"72.0""",Open Stance,"Mar 18, 1972",12,4,0,,4.96,44%,2.80,66%,0.25,33%,60%,0.0,http://www.ufcstats.com/fighter-details/52cae54377b433b7
Vinicius Queiroz,Vinicius,Queiroz,Spartan,"6' 7""",220 lbs.,--,Orthodox,"Aug 29, 1983",8,4,0,,3.67,51%,4.10,41%,5.07,70%,100%,0.7,http://www.ufcstats.com/fighter-details/2a8502954f49e682
Jimmy Quinlan,Jimmy,Quinlan,Crash,"6' 0""",185 lbs.,--,Orthodox,"May 25, 1986",3,1,1,,2.08,70%,5.94,16%,4.46,25%,0%,0.0,http://www.ufcstats.com/fighter-details/ddbe4fa2ea573393
Josh Quinlan,Josh,Quinlan,Bushido,"6' 0""",170 lbs.,"72.0""",Orthodox,"Feb 06, 1993",6,3,0,,3.57,42%,6.38,53%,0.34,11%,71%,0.0,http://www.ufcstats.com/fighter-details/876f478f796495f7
Ryan Quinn,Ryan,Quinn,,"5' 8""",145 lbs.,--,,--,13,7,1,,2.31,41%,1.67,48%,0.00,0%,0%,1.9,http://www.ufcstats.com/fighter-details/cc23ed51619421a3
Michel Quinones,Michel,Quinones,El Capo,"5' 10""",155 lbs.,"73.0""",Orthodox,"Dec 22, 1984",8,3,0,,2.91,29%,5.98,48%,0.00,0%,36%,0.0,http://www.ufcstats.com/fighter-details/5e84a859c6a82288
Landon Quinones,Landon,Quinones,The Lone Wolf,"5' 9""",155 lbs.,"70.0""",Southpaw,"Nov 21, 1995",7,3,1,,6.77,40%,7.70,55%,0.50,33%,100%,0.0,http://www.ufcstats.com/fighter-details/267f4a6568abe245
Jose Quinonez,Jose,Quinonez,Teco,"5' 8""",135 lbs.,"69.0""",Southpaw,"Jul 28, 1990",9,5,0,,3.60,45%,3.00,64%,2.70,47%,42%,0.6,http://www.ufcstats.com/fighter-details/36549928f90f1d36
Cristian Quinonez,Cristian,Quinonez,Problema,"5' 8""",135 lbs.,"70.0""",Orthodox,"Apr 26, 1996",19,5,0,,3.67,43%,3.71,56%,3.14,55%,85%,0.6,http://www.ufcstats.com/fighter-details/7debc13b36343605
Benji Radach,Benji,Radach,Razor,"5' 10""",185 lbs.,--,Orthodox,"Apr 05, 1979",21,7,0,,2.62,49%,2.31,51%,1.06,41%,71%,0.4,http://www.ufcstats.com/fighter-details/01b39decaf0abf6a
Jordan Radev,Jordan,Radev,,"5' 7""",185 lbs.,--,Southpaw,"Sep 28, 1976",23,5,0,,1.35,23%,2.38,66%,0.00,0%,80%,0.0,http://www.ufcstats.com/fighter-details/45bc8f98d62bd096
Charles Radtke,Charles,Radtke,Chuck Buffalo,"5' 9""",170 lbs.,"72.0""",Orthodox,"Jul 09, 1990",11,5,0,,2.80,54%,2.63,54%,1.32,30%,100%,0.7,http://www.ufcstats.com/fighter-details/feedf3053472fe56
Loik Radzhabov,Loik,Radzhabov,The Tajik Tank,"5' 11""",155 lbs.,"69.0""",Orthodox,"Sep 17, 1990",18,6,1,,2.89,44%,3.76,46%,4.65,57%,42%,0.0,http://www.ufcstats.com/fighter-details/8c169fbe1ac33637
Gilbert Rael,Gilbert,Rael,,"5' 8""",155 lbs.,--,,--,1,3,0,,0.00,0%,7.46,37%,4.86,100%,0%,0.0,http://www.ufcstats.com/fighter-details/6cc25d19a891f435
Josh Rafferty,Josh,Rafferty,,"6' 0""",170 lbs.,--,Orthodox,"Jan 06, 1981",9,8,0,,0.60,33%,3.60,50%,0.00,0%,0%,9.0,http://www.ufcstats.com/fighter-details/ff2c606c8bc365e3
Marwan Rahiki,Marwan,Rahiki,Freaky,"5' 8""",145 lbs.,"72.0""",Orthodox,"May 10, 2002",8,0,0,,7.73,52%,6.33,56%,0.00,0%,100%,0.9,http://www.ufcstats.com/fighter-details/6eedb757f13b9978
Amir Rahnavardi,Amir,Rahnavardi,,"6' 0""",205 lbs.,--,Orthodox,"Dec 07, 1974",11,10,0,,0.67,25%,0.00,100%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/bc7f7f0ba3db74d2
Ricky Rainey,Ricky,Rainey,The Sniper,"6' 1""",170 lbs.,"77.0""",Switch,"Jun 29, 1983",12,6,0,,2.55,48%,2.62,46%,0.95,18%,55%,0.0,http://www.ufcstats.com/fighter-details/9b1e3fb4f8cbd5b7
Shavkat Rakhmonov,Shavkat,Rakhmonov,Nomad,"6' 1""",170 lbs.,"77.0""",Orthodox,"Oct 23, 1994",19,0,0,,3.25,60%,2.17,51%,1.40,25%,85%,1.2,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Sora Rakhmonova,Sora,Rakhmonova,,--,125 lbs.,--,,"Jun 21, 1998",4,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/63ff619c52ff7976
Aleksandar Rakic,Aleksandar,Rakic,Rocket,"6' 4""",205 lbs.,"78.0""",Orthodox,"Feb 06, 1992",14,6,0,,4.13,50%,2.86,51%,0.64,21%,85%,0.1,http://www.ufcstats.com/fighter-details/333b9e5c723ac873
Jessica Rakoczy,Jessica,Rakoczy,The Ragin',"5' 7""",115 lbs.,--,Orthodox,"Apr 14, 1977",1,5,0,,2.50,44%,3.55,64%,0.75,20%,0%,0.8,http://www.ufcstats.com/fighter-details/ffdeb4fbea09ce75
Zygimantas Ramaska,Zygimantas,Ramaska,,"5' 11""",145 lbs.,"71.0""",Orthodox,"Dec 27, 1996",9,3,0,,0.96,60%,2.25,30%,0.00,0%,33%,2.4,http://www.ufcstats.com/fighter-details/641ca2c2ed91b93c
Thomas Ramirez,Thomas,Ramirez,,"6' 1""",410 lbs.,--,Sideways,--,0,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ea398c802d9998ee
Hector Ramirez,Hector,Ramirez,Sick Dog,"6' 0""",205 lbs.,--,Orthodox,"Mar 28, 1976",10,6,1,,2.27,41%,4.60,56%,2.30,55%,66%,0.5,http://www.ufcstats.com/fighter-details/d1759b2b7be9be56
Matt Ramirez,Matt,Ramirez,The Machine,"5' 5""",125 lbs.,--,,--,2,3,0,,3.03,50%,0.67,75%,2.53,16%,100%,0.0,http://www.ufcstats.com/fighter-details/96c05ba5ab9eccaf
Steve Ramirez,Steve,Ramirez,,"5' 7""",125 lbs.,--,,--,5,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4311e9d23604205c
Amador Ramirez,Amador,Ramirez,,--,135 lbs.,--,,"Jun 14, 1990",5,4,0,,4.93,51%,2.07,69%,1.00,33%,0%,0.0,http://www.ufcstats.com/fighter-details/ac31f869959860bc
Mitch Ramirez,Mitch,Ramirez,,"5' 11""",155 lbs.,"71.0""",Orthodox,"Nov 03, 1992",8,3,0,,3.51,44%,3.98,37%,0.59,33%,25%,0.0,http://www.ufcstats.com/fighter-details/e99eb0ef25885de5
Andrew Ramm,Andrew,Ramm,The,"6' 1""",160 lbs.,--,,--,4,4,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3b5f2faaa2f2c1f6
Ian Rammel,Ian,Rammel,,"6' 0""",185 lbs.,--,,"Jul 22, 1985",7,8,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/abc8e1423cf5b74e
Luis Ramos,Luis,Ramos,Beicao,"5' 8""",170 lbs.,--,Orthodox,"Jan 18, 1981",20,10,2,,2.40,35%,5.60,42%,1.50,20%,100%,0.0,http://www.ufcstats.com/fighter-details/7bc475b0fc2020ab
Ricardo Ramos,Ricardo,Ramos,,"5' 9""",145 lbs.,"72.0""",Orthodox,"Aug 01, 1995",17,8,0,,2.91,36%,3.97,54%,2.51,57%,67%,1.0,http://www.ufcstats.com/fighter-details/1ae8f3c723aacff4
Davi Ramos,Davi,Ramos,Tasmanian Devil,"5' 6""",155 lbs.,"70.0""",Orthodox,"Nov 05, 1986",10,4,0,,2.64,37%,3.44,56%,1.95,40%,83%,0.6,http://www.ufcstats.com/fighter-details/0052de90691d4a93
Yusup Saadulaev,Yusup,Saadulaev,Maestro,"5' 6""",135 lbs.,--,,"Mar 31, 1985",16,4,1,,0.57,45%,0.96,66%,5.73,60%,0%,1.0,http://www.ufcstats.com/fighter-details/b1669a810fae4220
Cameron Saaiman,Cameron,Saaiman,MSP,"5' 8""",135 lbs.,"67.0""",Southpaw,"Dec 20, 2000",9,3,0,,5.30,46%,4.14,51%,0.89,28%,47%,0.7,http://www.ufcstats.com/fighter-details/3c8a5200436e19f3
Pete Sabala,Pete,Sabala,,--,135 lbs.,--,,--,3,15,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7956f026e2672c47
Danny Sabatello,Danny,Sabatello,Italian Gangster,"5' 10""",135 lbs.,"71.0""",Orthodox,"Mar 31, 1993",9,1,0,,2.07,57%,0.20,25%,3.00,75%,100%,1.0,http://www.ufcstats.com/fighter-details/cb7ee07982de2a28
Pat Sabatini,Pat,Sabatini,,"5' 8""",145 lbs.,"70.0""",Orthodox,"Nov 09, 1990",21,5,0,,1.69,59%,1.09,50%,4.48,50%,50%,1.5,http://www.ufcstats.com/fighter-details/b8bbdeff718dbb7d
Amir Sadollah,Amir,Sadollah,,"5' 10""",170 lbs.,"75.0""",Orthodox,"Aug 27, 1980",6,5,0,,4.71,46%,3.55,60%,0.57,27%,60%,0.3,http://www.ufcstats.com/fighter-details/2650e2f846a30f64
Nazim Sadykhov,Nazim,Sadykhov,Black Wolf,"5' 10""",155 lbs.,"69.0""",Southpaw,"May 16, 1994",11,2,1,,4.79,49%,5.49,49%,1.10,45%,72%,0.2,http://www.ufcstats.com/fighter-details/ff62013d2fce6d13
Frankie Saenz,Frankie,Saenz,,"5' 6""",135 lbs.,"66.0""",Orthodox,"Aug 12, 1980",13,7,0,,3.94,47%,3.50,52%,1.74,31%,61%,0.1,http://www.ufcstats.com/fighter-details/9ba2226646046b63
Terrance Saeteurn,Terrance,Saeteurn,Wrong Turn,"5' 6""",125 lbs.,"67.0""",Orthodox,"May 30, 1995",8,2,0,,3.82,40%,3.82,52%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a78f7a9135eb6249
Saparbeg Safarov,Saparbeg,Safarov,,"6' 1""",185 lbs.,"78.0""",Orthodox,"Oct 14, 1986",9,3,0,,4.03,48%,2.96,47%,2.52,41%,33%,0.0,http://www.ufcstats.com/fighter-details/88d7b6d8230e1f3f
Tarec Saffiedine,Tarec,Saffiedine,Sponge,"5' 10""",170 lbs.,"70.0""",Switch,"Sep 06, 1986",16,7,0,,4.05,47%,3.06,62%,0.52,36%,84%,0.1,http://www.ufcstats.com/fighter-details/0749d968e932df53
Jason Saggo,Jason,Saggo,,"5' 11""",155 lbs.,"71.0""",Orthodox,"Nov 23, 1985",12,4,0,,2.50,39%,2.94,52%,2.33,40%,23%,0.0,http://www.ufcstats.com/fighter-details/4ac1ecf8ce59ef23
Kiru Sahota,Kiru,Sahota,,"5' 10""",125 lbs.,"73.0""",Orthodox,"May 28, 1995",12,3,0,,4.05,52%,2.64,41%,0.92,33%,50%,0.5,http://www.ufcstats.com/fighter-details/296a120cb880477b
Tatsuya Saika,Tatsuya,Saika,Yanbo,"6' 0""",155 lbs.,"73.0""",Orthodox,"Sep 18, 1990",11,5,0,,6.67,44%,9.91,43%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/cc4e571964b084d4
Mridul Saikia,Mridul,Saikia,Crusher,"5' 7""",125 lbs.,"68.0""",Orthodox,"May 09, 1997",8,1,0,,0.91,28%,2.74,36%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/96c76dd695eb3b88
Kaushik Saikumar,Kaushik,Saikumar,The Pride of Chennai,"5' 10""",135 lbs.,"71.0""",Orthodox,"Dec 11, 1997",5,1,0,,0.81,28%,5.35,41%,0.00,0%,33%,1.2,http://www.ufcstats.com/fighter-details/6a6c4709ebc5499a
Benoit Saint Denis,Benoit,Saint Denis,God of War,"5' 11""",155 lbs.,"73.0""",Southpaw,"Dec 18, 1995",17,3,0,,5.62,58%,4.09,42%,4.19,35%,72%,1.8,http://www.ufcstats.com/fighter-details/c2299ec916bc7c56
Ovince Saint Preux,Ovince,Saint Preux,,"6' 3""",205 lbs.,"80.0""",Southpaw,"Apr 08, 1983",27,18,0,,3.03,47%,3.33,47%,1.09,36%,67%,0.5,http://www.ufcstats.com/fighter-details/50db8711c70196cd
Lukasz Sajewski,Lukasz,Sajewski,Wookie,"5' 8""",155 lbs.,"71.0""",Orthodox,"Nov 27, 1990",13,3,0,,2.06,35%,3.88,57%,1.01,25%,66%,0.0,http://www.ufcstats.com/fighter-details/fb41432b622992a9
Yukio Sakaguchi,Yukio,Sakaguchi,,"5' 9""",185 lbs.,--,Orthodox,"Jul 26, 1973",6,7,0,,0.30,25%,2.40,50%,4.50,100%,0%,9.0,http://www.ufcstats.com/fighter-details/94a5aaf573f780ad
Augusto Sakai,Augusto,Sakai,,"6' 3""",265 lbs.,"77.0""",Orthodox,"May 09, 1991",16,5,1,,4.60,49%,3.83,48%,0.23,40%,56%,0.0,http://www.ufcstats.com/fighter-details/441eacbe20e0e80b
